experiment,total_runs,strict_acc,semantic_acc,avg_latency,avg_turns,avg_prompt_tok,avg_compl_tok
1.5b-instruct,400,4.5,4.5,3.6979962603974856,2.3475,3621.035,116.8075
14b-instruct,400,87.0,87.0,37.335588392090045,6.85,11479.65,376.3125
14b-instruct + 4x7b-instruct,400,79.5,79.5,33.73603379512241,4.1775,4975.56,499.705
3b-instruct,400,30.0,30.0,13.944984489702584,7.4275,12830.8625,309.28
3b-instruct + 4x1.5b-instruct,400,10.75,11.0,22.26214107482734,5.735,7379.0525,629.0275
7b-instruct,400,76.25,76.25,14.501745737672481,5.285,8680.54,262.135
7b-instruct + 4x3b-instruct,400,18.25,18.25,15.799538925722537,3.8425,3998.36,382.8275
